Blog hanging	wednesday	travel	fit	size	bottom	grandma	grateful	west	photos	technology	dirty	cream	research	hahaha	details	dogs	kitchen	test	teacher	poor	pool	evening	heavy	american	obviously	similar	links	including	university	tuesday	http	liked	likes	movies	anymore	personal	omg	lovely	dear	afternoon	happening	father	talked	fuck	speaking	label	download	quickly	stuck	apartment	king	wrote	shirt	questions	expect	edit	g	married	joe	kinda	hurt	machine	twitter	theme	babies	current	winter	records	pop	act	ah	al	community	results	jesus	email	co	cd	ball	moments	comments	em	el	breakfast	classic	ahead	nights	march	click	till	ben	language	luck	im	www	daddy	died	skin	pink	gotta	safe	nose	students	search	blood	blogging	y	broken	six	national	center	bus	mp	mr	several	gift	chocolate	color	program	presentation	arrived	planning	brain	create	record	lord	easier	series	tree	shower	previous	son	sign	fish	death	continue	spring	un	uk	fresh	truth	daughter	beach	japan	created	cat	album	card	message	price	history	ya	stopped	usual	lines	based	strange	explain	disco	website	human	join	tears	artist	shop	nearly	members	train	actual	hospital	onto	report	focus	cook	unfortunately	ideas	college	nd	ladies	thursday	basically	v	hotel	mommy	problems	wall	whether	beauty	knowing	smell	truck	slow	complete	certain	consider	dress	currently	hoping	major	produced	upon	tickets	india	office	received	speak	reality	brown	honest	online	notice	building	stayed	beyond	bonus	youtube	mentioned	exactly	woke	bar	die	everybody	soul	stupid	mark	shopping	doctor	tour	collection	mention	south	unless	alive	quick	memory	review	reach	aren	various	amount	choose	conversation	chicken	english	lead	june	service	mouth	singer	cup	roll	choice	matt	pulled	internet	situation	singapore	learning	followed	entire	land	process	realize	web	sarah	coffee	l	john	nobody	hang	easily	musical	josh	update	non	gonna	tracks	station	feels	forgotten	lived	popular	michael	parts	headed	lose	library	star	somehow	performance	among	^	sleeping	enjoying	facebook	restaurant	que	happens	wedding	conference	level	posts	guitar	taste	wife	weight	peace	holiday	fear	feat	opening	wanna	perhaps	cake	episode	fair	possible	began	wondering	spot	vacation	image	passed	original	content	pics	action	keeping	science	information	w	session	recent	hello	standing	david	figured	stage	study	dj	dr	fight	interested	hell	indeed	okay	ground	husband	concert	article	media	ft	jordan	towards	wow	himself	noticed	ha	net	posting	points	items	form	shit	digital	fell	yummy	pain	videos	release	bunch	la	comment	latest	photo	bands	na	events	worse	worst	ten	tea	difficult	health	added	sharing	reasons	sort	cars	itself	example	rd	everywhere	adam	large	gold	cry	available	church	seemed	magic	challenge	system	dan	total	earlier	war	certainly	presented	truly	cannot	celebrate	damn	picked	data	admit	immediately	warm	dog	lazy	opportunity	dreams	managed	film	difference	public	simply	ran	f	apparently	mid	mix	lol	snow	radio	released	slowly	chinese	finding	rainy	remix	related	july	scared	exciting	below	ate	season	punk	sat	pages	org	chase	pieces	haha	law	eventually	holding	market	club	worry	albums	makeup	control	quality	became	japanese	lights	lyrics	daily	lake	everyday	laughing	further	particular	gotten	dancing	meeting	kill	entry	google	ourselves	favourite	sing	de	text	calling	general	helped	soft	j	changed	changes	driving	sky	bye	practice	window	ep	
永宏's 哈本营	2	4	0	5	5	4	0	0	0	9	1	3	3	3	2	0	3	13	17	0	2	9	1	1	0	1	6	1	4	0	6	8	0	1	3	6	0	14	1	41	13	8	1	3	0	2	0	1	0	0	16	4	7	5	9	7	1	11	0	0	19	0	6	0	0	0	3	0	1	1	2	4	0	0	16	2	2	4	11	1	0	6	18	0	10	0	1	0	5	6	33	0	1	8	83	7	0	2	2	1	6	4	4	4	1	0	2	3	1	0	1	6	20	10	5	1	3	0	1	2	1	8	1	1	0	6	0	0	3	1	1	9	0	7	6	1	8	1	0	0	0	0	1	9	0	1	0	8	28	1	6	2	12	3	26	6	2	0	3	0	2	1	7	1	0	21	1	2	13	2	4	3	14	4	7	1	1	0	21	0	10	3	10	1	0	4	1	1	0	2	3	2	3	1	4	1	0	0	1	0	0	13	3	5	11	5	3	1	2	1	10	2	5	4	1	0	0	4	3	14	2	1	4	1	14	1	13	7	4	0	35	2	2	0	3	12	0	45	0	4	1	3	3	10	10	4	4	7	2	0	9	1	6	0	1	1	2	23	3	2	0	2	0	1	7	0	11	11	0	9	1	4	1	0	4	5	4	0	10	3	2	1	2	0	5	18	5	6	5	5	5	8	0	4	1	1	1	0	5	1	0	9	2	0	8	1	2	2	3	0	0	0	3	1	4	1	2	0	1	1	2	1	1	9	1	3	19	4	4	5	3	15	38	0	1	5	0	1	12	6	1	2	2	2	2	0	29	4	0	10	0	1	2	0	5	6	0	0	0	6	3	1	1	5	7	1	3	0	2	2	1	0	8	1	0	11	0	0	2	1	1	0	5	1	0	2	3	5	3	2	7	2	12	4	0	2	3	0	1	0	0	1	0	8	0	7	5	1	0	0	0	7	0	3	2	4	0	1	0	7	8	1	1	5	0	2	1	0	5	10	4	2	3	134	0	5	1	4	8	0	0	0	6	2	0	5	9	8	0	0	17	0	0	2	10	20	0	1	1	1	1	0	1	0	5	1	2	0	4	6	3	0	14	2	0	1	2	0	3	6	17	3	3	2	14	7	0	2	0	1	7	2	11	3	1	4	0	5	2	1	
Web Science and Digital Libraries Research Group	1	8	26	8	24	10	0	3	5	35	34	0	3	203	0	41	0	2	33	0	2	3	11	5	10	6	29	74	55	170	8	506	5	2	7	0	105	0	2	2	4	2	6	19	0	4	1	18	8	2	3	1	17	0	61	2	26	84	0	0	0	1	74	74	14	0	88	3	31	3	6	7	5	43	82	0	18	31	15	5	3	14	1	0	5	5	2	1	17	27	4	10	36	0	0	129	0	5	0	0	0	6	3	56	123	0	0	9	10	10	72	28	4	1	2	65	0	0	15	42	217	16	9	6	56	23	0	13	28	6	1	22	0	4	1	5	10	17	3	32	1	6	2	5	11	92	2	0	2	37	2	36	0	0	4	5	146	1	11	0	53	39	7	0	2	2	13	52	6	14	0	6	93	34	1	12	34	14	6	1	11	6	19	14	1	26	1	10	1	6	0	0	0	21	13	12	0	42	3	11	10	17	1	1	12	21	15	4	5	0	29	9	34	2	18	3	32	38	11	0	8	2	3	1	0	16	0	1	7	102	6	2	4	14	10	19	26	14	8	56	18	8	11	0	10	12	34	70	0	0	4	1	7	5	2	170	5	1	29	49	47	1	70	4	811	5	13	62	10	2	0	19	1	0	33	24	1	4	6	2	4	0	22	154	13	15	5	186	5	1	52	19	2	0	2	65	8	2	8	2	200	56	34	1	0	2	6	2	1	2	0	15	1	16	0	3	13	25	27	0	3	0	63	8	72	238	0	4	12	60	166	19	189	38	8	3	47	2	7	62	0	78	2	21	0	4	0	8	0	0	33	101	2	1	11	0	2	6	2	26	8	22	10	32	0	353	2	0	0	44	25	2	3	4	6	12	0	0	29	4	4	34	1	20	10	13	27	9	8	1	21	149	3	3	2	46	6	1	117	2	9	1	21	93	4	39	26	5	4	264	2	11	0	1	9	460	1	10	0	3	0	14	1	5	1	15	79	13	13	29	6	1	7	0	1	4	21	0	1	19	0	0	51	45	0	7	43	0	62	0	39	150	134	1	7	0	16	9	2	6	2	2	0	0	26	30	9	1	0	0	10	4	3	1	48	17	1	3	68	1	8	118	2	0	0	46	67	16	25	9	5	18	30	38	3	3	3	18	6	0	
babe report	3	4	1	3	6	2	10	2	4	1	2	1	3	1	1	2	2	2	4	1	2	12	1	3	12	17	7	0	4	1	1	2	11	6	29	7	6	3	6	12	1	6	3	6	0	6	0	3	3	6	6	8	8	10	4	5	1	1	8	12	3	8	1	1	1	2	6	9	2	7	1	1	2	4	3	5	9	5	3	5	8	3	1	13	16	0	7	0	3	3	2	3	5	5	1	1	4	9	11	1	4	3	2	1	8	11	7	6	4	3	6	4	2	4	8	16	8	1	2	0	0	2	3	4	1	6	3	1	1	11	3	0	2	6	3	16	5	4	4	1	4	3	5	15	0	2	5	25	6	2	1	9	2	14	2	6	6	3	5	0	11	8	3	4	4	6	4	4	1	7	3	7	11	2	0	2	7	2	9	0	3	14	15	11	1	2	7	3	2	4	7	3	1	10	4	8	3	1	4	3	0	9	6	3	13	1	4	9	3	8	4	9	5	1	1	0	0	15	16	10	13	13	0	4	9	31	5	0	7	0	11	7	8	9	0	2	2	2	15	3	9	0	10	5	1	8	6	4	8	6	1	5	3	4	8	10	3	0	2	4	13	5	5	8	1	3	3	2	23	1	3	2	0	11	2	8	3	2	7	11	4	4	0	10	3	5	7	4	8	8	3	2	19	4	4	4	2	4	13	3	1	2	2	10	3	4	0	2	12	4	1	6	4	3	5	4	8	9	5	2	5	5	4	7	2	1	1	5	3	2	2	6	1	4	7	5	7	3	11	4	0	2	5	3	7	2	33	7	5	4	2	0	2	0	7	2	18	16	0	0	3	4	0	2	10	0	3	5	1	6	1	8	14	2	5	6	11	1	7	9	7	6	5	2	14	5	0	1	10	10	2	9	8	2	10	9	6	7	0	4	11	4	0	5	0	3	9	3	1	0	2	17	7	5	4	0	3	4	1	3	8	0	12	0	18	4	5	1	13	11	14	3	1	3	14	12	1	4	0	3	0	0	5	9	4	8	8	13	10	1	11	2	1	0	0	1	3	3	4	2	2	8	11	4	2	9	5	5	6	15	4	10	3	6	6	3	14	6	1	10	0	15	4	0	15	5	9	4	12	1	3	8	12	1	22	4	5	3	8	0	
Luna's Imagination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
AlcornStudios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
A Few Thoughts	3	11	3	5	9	5	7	0	1	5	3	10	3	1	1	9	18	9	5	13	13	11	6	3	0	1	6	1	3	6	4	10	5	4	10	5	8	2	3	2	12	2	1	1	0	2	0	2	5	3	10	0	8	3	3	3	0	1	2	0	8	5	3	0	7	2	7	13	1	1	2	1	0	10	0	2	2	0	4	3	9	4	0	0	8	0	0	9	10	0	3	0	1	7	0	9	0	5	1	5	0	3	3	9	4	2	8	0	3	0	1	1	4	0	2	7	10	4	4	17	1	3	7	3	0	3	0	11	0	22	1	0	0	4	5	12	13	23	0	0	8	6	4	10	0	3	0	1	6	2	1	2	9	6	12	1	6	1	1	0	2	2	3	2	2	1	0	0	3	8	2	2	0	11	4	4	6	1	2	0	4	2	2	1	0	3	5	2	1	6	21	7	9	6	9	9	3	4	13	2	1	6	3	0	6	4	10	17	4	0	8	6	7	8	3	2	0	10	1	0	4	6	0	12	4	8	1	0	2	3	3	4	6	1	7	13	5	1	3	3	6	3	6	5	1	2	6	3	6	0	1	3	11	0	3	8	8	0	1	3	6	3	6	11	1	0	18	0	0	0	6	7	1	0	11	5	0	0	6	13	2	13	2	5	4	5	2	4	5	1	0	1	0	4	4	5	4	0	9	9	0	5	13	0	1	1	3	1	13	14	0	5	0	30	9	0	7	16	1	3	14	11	2	6	1	4	9	3	6	0	5	0	0	4	1	4	3	0	5	1	0	1	1	2	6	0	0	9	12	1	3	2	1	0	11	2	5	13	3	0	6	0	7	12	2	1	6	2	3	1	2	0	0	7	1	2	2	0	7	8	4	1	2	5	5	14	4	14	5	2	4	0	7	5	0	5	1	10	1	9	13	3	2	4	0	4	1	0	5	0	2	16	3	6	7	0	1	6	8	18	1	4	1	4	2	3	1	3	3	26	4	4	3	0	45	6	1	4	0	9	3	2	5	3	11	2	1	7	10	0	3	1	0	0	1	0	3	1	0	1	3	5	0	1	7	10	7	0	12	0	8	10	5	1	3	1	0	4	3	4	2	2	2	19	4	0	3	2	8	2	3	1	3	5	12	3	4	2	10	0	
The Latest Escapades of the Terrizzi Family	2	2	0	5	4	7	0	12	0	5	0	3	9	0	0	3	2	3	1	0	1	0	2	2	0	1	1	0	1	0	2	0	11	5	1	1	1	0	12	1	7	0	4	1	0	0	0	1	1	2	0	0	0	0	1	1	0	2	3	0	3	3	2	1	0	6	0	2	0	2	2	2	0	0	0	5	0	0	2	5	1	2	1	0	1	0	3	0	7	1	1	1	1	1	0	0	43	3	1	5	6	1	3	0	0	4	3	10	2	0	0	3	1	0	1	3	3	13	10	0	0	4	0	2	1	0	13	3	0	7	5	0	7	1	0	2	4	5	0	0	3	0	9	11	0	0	9	0	0	0	1	1	2	1	0	0	2	3	2	0	2	0	2	0	0	4	0	0	3	0	1	4	0	1	1	2	2	0	3	1	0	0	1	0	30	1	1	4	1	2	0	9	0	0	0	2	14	0	1	0	0	6	0	0	3	1	0	0	2	0	0	2	2	1	2	0	1	6	5	2	0	0	0	1	1	1	0	1	1	1	2	2	0	1	6	0	0	3	2	0	0	0	3	0	3	0	2	7	8	0	2	1	1	0	6	0	0	0	1	0	1	0	1	4	1	1	0	1	1	0	2	2	1	0	3	1	3	0	0	1	0	0	0	3	0	3	1	0	0	2	0	0	0	2	16	2	1	0	1	15	0	1	5	0	3	9	3	0	0	0	0	2	1	0	24	0	6	1	1	4	2	1	0	2	1	1	34	0	2	8	3	1	1	7	2	3	0	8	0	0	0	0	0	5	0	1	8	4	12	0	0	0	1	0	3	7	9	0	4	0	3	0	1	0	0	0	2	2	0	0	0	6	0	6	1	4	0	0	3	0	1	1	0	0	3	2	4	0	1	3	2	0	5	3	0	0	0	1	0	28	1	0	0	0	0	3	6	0	2	0	0	7	0	0	10	0	0	1	1	6	2	2	0	0	0	1	0	1	6	0	0	2	7	5	0	1	0	0	0	2	0	0	2	2	0	1	5	3	2	0	4	0	0	4	2	0	2	1	6	0	1	0	0	0	0	0	1	1	2	0	0	0	1	4	0	1	9	1	2	2	1	3	1	0	3	1	0	3	0	4	2	10	1	1	2	8	2	4	4	0	
quasiphoto	0	0	0	0	0	0	3	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	0	0	2	0	2	0	0	6	0	4	2	1	1	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	2	3	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	5	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	
Boggled Bout BlurChu's Blog?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	3	0	0	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	2	3	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	3	2	0	0	0	0	1	3	1	21	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
QiuQiu	13	3	19	23	23	42	0	5	2	2	9	13	47	6	463	62	6	5	10	7	9	4	21	24	3	15	11	19	11	2	3	7	4	19	3	47	20	157	5	0	9	34	6	4	18	3	15	21	17	6	0	5	7	13	27	27	13	8	21	0	50	19	10	43	16	17	4	11	0	23	26	301	0	4	30	0	60	6	0	13	10	60	0	0	25	15	14	4	22	40	22	3	5	47	0	25	3	5	348	104	71	10	126	6	10	21	36	10	0	2	6	10	19	0	12	4	24	32	0	2	7	5	13	7	14	8	0	14	26	2	52	27	3	26	14	5	28	34	0	2	58	1	4	18	150	7	7	10	14	4	45	2	3	6	24	28	15	7	13	1	27	13	57	5	5	168	0	8	5	13	8	15	1	7	12	0	4	0	7	32	0	10	18	75	1	10	12	11	61	4	38	1	6	11	9	21	76	3	4	24	3	12	20	1	11	5	17	4	50	9	69	22	15	11	5	3	20	17	19	11	26	66	3	1	36	8	94	28	4	72	8	7	19	8	54	2	0	5	1	27	8	64	2	54	3	5	24	29	21	5	28	11	44	0	2	15	9	113	14	6	9	12	18	0	5	1	5	16	5	45	23	33	2	317	34	18	149	0	16	45	0	1	40	1	11	5	26	1	17	26	2	10	1457	29	6	136	27	0	6	96	3	64	20	1	46	13	14	7	28	7	0	15	425	1	32	7	30	13	0	16	42	1	6	7	35	5	0	12	9	2	22	8	17	9	152	10	0	6	18	6	2	9	15	14	4	15	444	3	19	3	4	27	1	0	8	1	4	12	2	1	9	12	122	21	82	4	9	65	22	20	2	17	3	42	13	21	1	0	33	0	21	19	22	5	20	13	28	22	32	1	9	17	11	24	0	6	17	16	39	0	1	45	16	8	4	17	29	2	0	1	6	96	10	155	47	4	3	6	15	10	16	1	11	4	9	16	10	21	5	15	3	13	30	496	6	4	4	10	30	5	1	0	16	16	46	27	38	15	12	5	14	3	0	2	37	872	7	6	17	24	3	58	1	294	13	29	5	126	9	8	36	0	70	8	4	7	5	8	10	21	12	4	18	122	19	65	11	14	2	12	76	1	12	8	5	6	61	2	7	2	
Susan Grace's Blog	1	0	1	2	1	1	3	5	4	0	0	5	0	0	0	0	0	5	1	1	0	3	2	1	1	1	3	0	0	2	0	0	2	2	1	0	3	0	0	4	2	1	1	0	0	0	0	0	2	0	2	0	0	3	2	0	0	1	0	0	0	1	0	0	0	11	4	3	0	0	0	2	1	1	0	0	1	1	3	3	6	0	0	0	2	0	3	1	1	0	1	3	3	0	0	0	14	0	0	8	1	4	2	1	0	0	0	1	3	9	1	2	1	0	0	1	7	0	0	0	0	2	0	1	6	2	0	4	0	7	0	1	3	0	3	1	0	8	0	0	0	0	0	1	0	3	10	0	0	0	1	1	0	0	1	1	2	0	1	0	0	2	1	0	2	0	0	5	2	1	2	7	1	1	0	1	0	4	0	0	0	0	0	1	14	1	4	4	2	5	0	1	1	3	1	0	4	4	1	3	0	4	0	0	6	1	0	2	3	0	0	1	0	0	0	0	0	1	3	1	0	0	0	1	1	0	0	0	0	0	1	2	0	1	4	1	0	3	0	1	0	1	2	0	2	2	3	0	1	0	0	0	5	0	3	1	2	0	7	1	1	1	6	6	3	0	0	0	2	0	0	3	0	0	0	0	0	0	1	1	1	3	0	4	2	0	1	4	0	2	0	0	0	1	0	0	1	0	2	0	1	0	0	4	0	0	0	0	1	0	1	2	0	2	0	0	0	0	8	0	0	0	1	3	0	0	0	2	3	1	1	0	2	4	0	1	0	0	0	1	0	2	0	0	0	0	0	2	1	0	0	0	2	0	1	0	1	4	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	2	1	2	0	1	0	0	5	13	0	2	3	6	2	2	0	2	2	0	0	0	1	4	0	0	1	1	0	2	2	0	0	2	1	0	0	1	0	1	0	0	0	0	1	2	1	0	4	0	0	0	1	1	0	1	0	3	1	0	0	1	1	0	0	1	2	1	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	1	0	2	0	1	1	0	3	1	2	0	2	0	7	2	1	0	0	3	2	0	1	0	0	0	1	0	4	0	0	0	0	2	4	1	1	1	4	0	0	2	1	0	
Preecs Place: The family blog	14	12	25	9	13	10	9	7	7	3	2	2	16	8	0	7	11	17	16	5	5	10	21	6	1	10	5	0	11	2	12	1	18	30	0	14	9	5	7	6	18	4	5	9	0	8	0	0	25	8	13	4	5	8	17	14	3	5	6	1	18	3	4	3	10	21	15	9	1	2	5	3	1	20	5	0	9	4	0	6	4	3	0	0	15	1	8	4	1	5	2	3	7	12	0	1	18	4	5	7	5	9	8	13	5	0	9	3	8	4	3	31	9	1	3	35	6	3	17	12	7	11	12	2	6	5	1	9	17	7	5	10	7	15	5	4	8	8	1	0	11	2	6	6	0	1	55	0	3	2	15	4	0	6	8	3	4	8	6	0	2	5	8	4	3	4	22	5	3	12	6	9	5	8	11	4	15	12	0	6	11	14	0	8	21	10	4	8	1	8	3	32	14	11	4	9	4	5	32	15	0	6	5	0	22	3	6	0	4	9	16	9	15	13	3	1	2	9	12	17	7	3	0	4	5	6	11	16	6	1	11	13	6	0	23	5	1	2	16	10	8	5	3	6	6	6	1	14	21	1	4	7	4	190	5	7	7	0	21	3	18	6	20	7	3	0	19	1	0	0	25	4	2	0	26	18	4	0	1	13	2	4	2	0	12	8	1	9	1	6	3	4	0	15	12	6	10	0	6	18	4	16	3	0	5	3	10	1	14	5	0	3	2	16	17	0	8	10	1	5	14	10	3	12	1	3	1	6	21	68	6	2	3	9	4	7	0	24	11	3	0	7	1	18	2	2	12	9	2	0	2	0	1	0	6	4	26	9	12	0	0	6	1	10	0	0	1	4	4	6	4	19	4	3	10	6	0	0	13	6	6	2	14	7	8	2	3	10	31	4	6	5	3	4	8	9	0	4	2	9	22	1	8	13	1	5	4	1	15	1	4	3	17	0	31	3	2	8	12	13	2	9	3	34	0	9	4	5	12	0	2	5	4	0	15	3	0	9	3	10	2	0	9	11	3	17	8	8	13	0	13	7	0	0	5	0	10	22	8	18	6	9	2	0	8	3	4	0	12	4	7	10	6	3	4	7	25	4	29	2	11	4	20	0	1	1	7	8	3	12	4	2	8	9	21	4	2	15	12	0	
